,ORF,CAI,dS,dN,dN/dS,dS adjusted,dN/dS adjusted,orf,fitness,fdS,fdN,fdNdS,fdSadj,fdNdSadj
YDL199C,YDL199C,0.239,1.5266,0.188700072,0.123608065,2.0093799999999997,0.0939096,YDL199C,1.013,0.423697876369224,-1.662311022494588,-2.0825819475966885,0.6983237589287596,-2.3548304193676355
YDL200C,YDL200C,0.25775,2.157,0.299999671,0.139081906,2.67766,0.11203800000000001,YDL200C,1.031,0.7691818668359429,-1.2006461072571144,-1.965527984586543,0.985316669481083,-2.180031233614473
YDL201W,YDL201W,0.319,1.3918,0.052899956,0.038008303,2.03618,0.02598,YDL201W,1.004,0.3313161094718421,-2.9206256173940495,-3.2439807580760363,0.7115664985836949,-3.612659428202527
YDL202W,YDL202W,0.25325,1.3801,0.21509990399999998,0.155858202,1.89167,0.11370899999999999,YDL202W,0.846,0.32288028310174594,-1.532014459708174,-1.8524130537139039,0.6379885305646341,-2.165356792362737
YDL203C,YDL203C,0.24575,1.5882,0.178700506,0.112517634,2.08462,0.0857233,YDL203C,1.004,0.4632307449583068,-1.71646366939247,-2.175797088489904,0.7350661731577269,-2.4450326885092823
YDL204W,YDL204W,0.341,1.7321,0.267100104,0.154205937,2.42092,0.11033,YDL204W,1.005,0.5499117124731924,-1.3163948458253416,-1.8630024180987,0.884560614032118,-2.195256515241521
YDL205C,YDL205C,0.34525,1.2979,0.033400093,0.025733949,1.99531,0.0167393,YDL205C,0.0,0.2615177524311012,-3.3696960111180667,-3.6218210231177754,0.6913004764510687,-4.031972761729281
YDL206W,YDL206W,0.2585,1.6341,0.256900164,0.157212021,2.15627,0.11914100000000001,YDL206W,1.005,0.4917039645584037,-1.3551827301896504,-1.843819240441828,0.7688435334259994,-2.1190892259723224
YDL207W,YDL207W,0.24275,1.5356,0.151400396,0.098593642,2.02596,0.0747302,YDL207W,0.0,0.42957218345139747,-1.8812440373077703,-2.306656951770512,0.706537133678705,-2.580578254898583
YDL208W,YDL208W,0.4735,1.4656,0.0623,0.042508187999999995,2.42207,0.025721800000000003,YDL208W,0.0,0.38294679667756204,-2.7598699498320065,-3.1348061287154634,0.8850353312231118,-3.6222755673131686
YDL213C,YDL213C,0.29225,1.6772,0.109500216,0.06528751299999999,2.26755,0.0482901,YDL213C,0.9740000000000001,0.5177217904538319,-2.202737803275109,-2.7137537404035017,0.8191408608752353,-3.0100320294578196
YDL214C,YDL214C,0.2745,1.6517,0.299600602,0.18138923699999998,2.2061900000000003,0.1358,YDL214C,1.0170000000000001,0.5024103141646434,-1.2019727990039244,-1.701612210758366,0.7917202132836373,-1.989235273793687
YDL215C,YDL215C,0.35600000000000004,1.6844,0.034700099,0.020600866000000002,2.40352,0.0144372,YDL215C,1.008,0.5220029243561158,-3.332601817091145,-3.8350218725031113,0.8773502994385634,-4.170975097981149
YDL216C,YDL216C,0.25325,1.9744,0.253700696,0.128495085,2.48597,0.10205299999999999,YDL216C,1.012,0.6807709094918898,-1.3676661643738397,-2.0441123522307567,0.9110651020223361,-2.2725118599879037
YDL217C,YDL217C,0.213,1.8529,0.028800008999999998,0.015543207,2.2831599999999996,0.012614100000000001,YDL217C,0.0,0.6172915282564095,-3.513246583457401,-4.101779714590231,0.8259983418796035,-4.2966492586035985
YDL218W,YDL218W,0.28800000000000003,1.9896,0.168699987,0.084790906,2.57136,0.0656073,YDL218W,1.001,0.6884361008298261,-1.7737231833477343,-2.4558422687816197,0.9448237654764419,-2.7089410978328785
YDL220C,YDL220C,0.23,1.7287,0.43719926200000003,0.252906382,2.1933,0.19933399999999998,YDL220C,0.0,0.5479479830677405,-0.8250815359846719,-1.3707896547071374,0.7858630890596867,-1.6077693053335547
YDL224C,YDL224C,0.24025,1.379,0.145900341,0.105801553,1.86431,0.0782597,YDL224C,1.006,0.3220834991691132,-1.9180008744979882,-2.236782811363263,0.623427259121934,-2.535025476238366
YDL225W,YDL225W,0.31525,1.7054,0.088200134,0.05171815,2.3422099999999997,0.037656800000000004,YDL225W,1.016,0.5343858881750038,-2.416872737155149,-2.9427954804506316,0.8515217841904261,-3.2530325815196948
YDL226C,YDL226C,0.29075,1.5955,0.13080025,0.081980727,2.18282,0.0599226,YDL226C,0.998,0.46781373317269953,-2.0264677601021757,-2.4891469029685296,0.7810756369037254,-2.7981510729427175
YDL227C,YDL227C,0.2545,1.7671,0.069600019,0.039386577,2.28119,0.030510400000000003,YDL227C,0.9940000000000001,0.5699055237019065,-2.650724865361164,-3.209257801698363,0.8251355082719218,-3.457437628910791
YDL229W,YDL229W,0.79125,0.6689,0.11610031400000001,0.173569015,2.26723,0.051208000000000004,YDL229W,1.012,-0.4006268314679151,-2.1447243269132303,-1.7454351140970665,0.8189997916585087,-2.9525195391311723
YDL230W,YDL230W,0.23825,1.9551,0.108200166,0.055342523,2.43637,0.0444104,YDL230W,1.006,0.6709526950501766,-2.2145726955259675,-2.876305735853939,0.8909195891342591,-3.092014125278613
YDL235C,YDL235C,0.33899999999999997,1.3607,0.080400046,0.059087268,2.04548,0.03930619999999999,YDL235C,0.0,0.3087339191483925,-2.508379440863237,-2.811957306805501,0.7161212441197667,-3.2112499757087596
YDL236W,YDL236W,0.358,1.5334,0.083999995,0.054780222999999996,2.25656,0.0372248,YDL236W,1.004,0.42813942514703673,-2.465104081315352,-2.8863358989420944,0.8142845840289024,-3.264270759358593
YDL237W,YDL237W,0.30475,1.506,0.206300565,0.13698576699999998,2.1216,0.0972382,YDL237W,1.0170000000000001,0.4101209196443583,-1.5735855340255454,-1.9806047368251483,0.752641752345585,-2.3203601372267335
YDL238C,YDL238C,0.259,1.5686,0.205100075,0.130753586,2.09178,0.0980505,YDL238C,1.002,0.4508208098289615,-1.579393427184771,-2.0268218737147556,0.7384933256601546,-2.31212545789474
YDR001C,YDR001C,0.30775,1.5581,0.030400022999999998,0.019510957,2.17976,0.0139465,YDR001C,1.0090000000000001,0.44410873170036874,-3.4609466535841213,-3.8867960478206265,0.7796734398990331,-4.2032781202667095
YDR003W,YDR003W,0.21225,1.4992,0.176500545,0.117729819,1.92795,0.09154830000000001,YDR003W,1.0070000000000001,0.40559843255339884,-1.7287815996488451,-2.130904795772877,0.6569758134217696,-2.380024608580819
YDR004W,YDR004W,0.2405,1.4033,0.137299948,0.097840767,1.8891099999999998,0.0726797,YDR004W,0.895,0.33953895799199746,-1.9783304163057107,-2.314245137875649,0.6366350284361361,-2.6080279587046125
YDR009W,YDR009W,0.27575,1.5374,0.156400395,0.101730451,2.09442,0.0746748,YDR009W,1.008,0.4307429152924329,-1.8489624334721229,-2.2756467016146673,0.739754010608176,-2.5813100669585873
YDR031W,YDR031W,0.26875,1.2212,0.096300245,0.078857063,1.7640799999999999,0.0545895,YDR031W,1.01,0.20065251347867805,-2.329953771807736,-2.5275169548828513,0.5681960151371147,-2.8897609444806664
YDR032C,YDR032C,0.486,1.2523,0.014499996000000001,0.011578692,2.23402,0.00649054,YDR032C,1.001,0.2257800726353394,-4.166915513121485,-4.37575100767837,0.8042501765713554,-4.894114387923639
YDR033W,YDR033W,0.60825,0.8826,0.11360026,0.128710923,2.11127,0.0538066,YDR033W,1.008,-0.12375080743617488,-2.1663052059431642,-2.0424469737810007,0.7477631985821533,-2.903944654324031
YDR036C,YDR036C,0.324,1.2029,0.129699917,0.107822692,1.85738,0.0698295,YDR036C,1.008,0.18556628695884367,-2.0348512933942438,-2.2180354001307254,0.6197051404703924,-2.647479698397247
YDR043C,YDR043C,0.214,1.7949,0.126500038,0.070477485,2.2271799999999997,0.0567983,YDR043C,1.004,0.5855062890425535,-2.059638616344485,-2.6383727739769443,0.8011851087478455,-2.8507959155010454
YDR045C,YDR045C,0.30825,0.9939,0.008000017,0.008049117,1.61657,0.00494876,YDR045C,0.0,-0.005113049386823014,-4.710528812758813,-4.705088095091246,0.48092502311802554,-5.124572484504942
YDR049W,YDR049W,0.282,1.8883,0.32210074699999997,0.170577105,2.4579400000000002,0.131045,YDR049W,0.9329999999999999,0.6362063900971352,-1.1297910941766414,-1.7627225215755353,0.899730362773699,-2.024612505401158
YDR052C,YDR052C,0.2845,1.4722,0.174799903,0.118733802,2.0468900000000003,0.08539780000000001,YDR052C,0.0,0.3874369055887731,-1.73840884549458,-2.1224843169759655,0.7168099947972774,-2.4487930664592765
YDR054C,YDR054C,0.33299999999999996,1.5098,0.016500009,0.010928606,2.18246,0.00756028,YDR054C,0.0,0.4126393118561647,-4.045553883767087,-4.428815897981248,0.7809107745634057,-4.760622379083082
YDR055W,YDR055W,0.38325,1.7356,0.126900246,0.073116067,2.50977,0.0505625,YDR055W,1.003,0.5519291786444077,-2.056504647021551,-2.602122941574035,0.9205894790068716,-2.964960614887237
YDR056C,YDR056C,0.33625,1.4572,0.240700886,0.165180405,2.13643,0.11266500000000002,YDR056C,1.008,0.37720279839019283,-1.4200543255781357,-1.7946813036318916,0.7596041727545213,-2.1744997532308274
YDR057W,YDR057W,0.263,1.7753,0.31959926,0.18002549399999998,2.3065599999999997,0.138561,YDR057W,0.99,0.5745325492237031,-1.1375633469815254,-1.7091174068061288,0.8361906892236668,-1.9692534973123361
YDR058C,YDR058C,0.2675,2.0024,0.100099931,0.049989977000000005,2.54275,0.0393668,YDR058C,1.0170000000000001,0.6948457371955268,-2.291645835448526,-2.9761261949840114,0.933639370208768,-3.209747614041329
YDR061W,YDR061W,0.231,2.4613,0.530799689,0.21565826600000002,2.92792,0.181289,YDR061W,0.998,0.9010958724916126,-0.6314883849797068,-1.5294339778199215,1.0746337543964524,-1.702161939216795
YDR062W,YDR062W,0.36175,1.5490000000000002,0.05460022900000001,0.035248695,2.2797400000000003,0.0239502,YDR062W,0.0,0.4382549309311553,-2.889567959029046,-3.317351898329469,0.8244999517111996,-3.6908734407846735
YDR063W,YDR063W,0.28275,1.6272,0.11000021900000001,0.067600921,2.1983599999999996,0.0500374,YDR063W,1.005,0.4874751101577402,-2.1982231046987764,-2.679449318684444,0.7881664089511031,-2.975196581681982
YDR065W,YDR065W,0.25425,2.0316,0.298700953,0.147027443,2.5451900000000003,0.11735899999999999,YDR065W,0.7659999999999999,0.709315761721529,-1.204970124818062,-1.910357596731562,0.9345981242164405,-2.13403290028609
YDR066C,YDR066C,0.22675,1.9072,0.5381015610000001,0.282142178,2.36524,0.22750399999999998,YDR066C,0.996,0.6461603893356085,-0.6178513009620208,-1.261806111737679,0.8613021974363219,-1.4762015633306371
YDR068W,YDR068W,0.3075,2.3359,0.39489924200000004,0.16905657,2.95705,0.133545,YDR068W,0.998,0.8488252647396237,-0.9265955394967902,-1.7716241325798883,1.084530267458798,-2.005856563406432
YDR072C,YDR072C,0.30275,1.4381,0.219899823,0.152909966,2.04966,0.10728599999999999,YDR072C,1.012,0.36401791819399076,-1.5100459698239286,-1.8713874838986218,0.718161692554656,-2.222979403876132
YDR073W,YDR073W,0.19325,1.3386,0.182200588,0.136112795,1.7289700000000001,0.10538099999999999,YDR073W,1.006,0.2923710619379124,-1.6971736171402712,-1.986951370729085,0.5481040673188676,-2.2407282894489406
YDR076W,YDR076W,0.245,1.4799,0.16929999899999998,0.11439962099999999,1.9748,0.0857302,YDR076W,0.915,0.3926500110613205,-1.7701936971854852,-2.1593542091423004,0.6809733796282366,-2.444953128281283
YDR077W,YDR077W,0.604,1.6276,0.22819997600000003,0.140206424,2.84768,0.0801354,YDR077W,0.996,0.48772075005089377,-1.4731603988535997,-1.9575324592071874,1.0468557290950748,-2.511635914947943
YDR078C,YDR078C,0.251,1.5534,0.19520007,0.125659888,2.06042,0.094738,YDR078C,1.001,0.4410896190810931,-1.6286203750721409,-2.06624983215131,0.7233950657176637,-2.3461399851461446
YDR079W,YDR079W,0.239,1.2373,0.038500035,0.031116168,1.7200799999999998,0.0223827,YDR079W,0.8759999999999999,0.21373947123891582,-3.231453720999504,-3.438395699635892,0.5429520007510021,-3.755758846286824
YDR083W,YDR083W,0.33825,1.5508,0.13880031199999998,0.08950239300000001,2.23407,0.0621289,YDR083W,0.8320000000000001,0.4394155474777117,-1.967540217425261,-2.402378986636889,0.8042725474855885,-2.7625766111168355
YDR084C,YDR084C,0.3005,1.4531,0.073200035,0.050375084,2.06011,0.0355321,YDR084C,0.998,0.3743871525373029,-2.6009906571108004,-2.9686019711305787,0.7232446726335214,-3.3095639528302714
YDR086C,YDR086C,0.5535,1.1237,0.043799925999999996,0.03897831,2.2417700000000003,0.019538099999999996,YDR086C,0.0,0.1175163334278388,-3.105548791348276,-3.2194182219389003,0.8077117090409475,-3.8854735811946135
YDR087C,YDR087C,0.3145,1.6204,0.172599985,0.10651689999999998,2.25569,0.0765176,YDR087C,0.0,0.4832899735714697,-1.7510015631614209,-2.2301072344681816,0.8138991379367403,-2.557250271631211
YDR099W,YDR099W,0.49325,1.0097,0.011300032,0.011191475,2.0060700000000002,0.00563292,YDR099W,1.004,0.01064316009847976,-4.398153414981134,-4.407018341988621,0.696675947133235,-5.015710149419035
YDR100W,YDR100W,0.306,1.3288,0.079499947,0.059828377,1.94692,0.0408337,YDR100W,1.011,0.28502855498621743,-2.5194987529429294,-2.7996988719194875,0.6667621366152326,-3.174053044176581
YDR101C,YDR101C,0.39825,1.3122,0.071200122,0.054260114000000005,2.11667,0.0336378,YDR101C,0.8809999999999999,0.2724669066453005,-2.6283135433340914,-2.895703896513967,0.7503164276745471,-3.3628097076973824
YDR109C,YDR109C,0.26475,1.8102,0.33049961,0.182576295,2.345,0.140938,YDR109C,1.008,0.5939896090267267,-1.1041286458275001,-1.6951249213318804,0.8527117502312838,-1.9523649364453297
YDR111C,YDR111C,0.29975,1.6407,0.129000389,0.078625214,2.2462,0.057430499999999995,YDR111C,1.01,0.49573229031833543,-2.040217836223339,-2.530424477495305,0.8096849968078969,-2.8399172652044156
YDR113C,YDR113C,0.25425,1.8659999999999999,0.312399714,0.167416781,2.3795900000000003,0.13128299999999998,YDR113C,0.0,0.6243328645595855,-1.1602758616324262,-1.7813135324949012,0.8673483561211278,-2.0228117119603066
YDR116C,YDR116C,0.23925,1.8269,0.133500336,0.073074791,2.31019,0.057787599999999995,YDR116C,0.92,0.6031677669404213,-2.0061885818020997,-2.60268000699122,0.8377625434038647,-2.8338243306705295
YDR117C,YDR117C,0.30075,1.6381,0.21180036600000002,0.129296359,2.24562,0.0943171,YDR117C,0.998,0.4941473107131772,-1.5474008015913148,-2.037943738449738,0.8094268645270221,-2.3505460510499114
YDR120C,YDR120C,0.30375,1.6756,0.08500022900000001,0.050728234000000004,2.28918,0.037131300000000006,YDR120C,0.9540000000000001,0.5167679332216198,-2.453405319941477,-2.961751534347058,0.8286304170972115,-3.266719811804522
YDR121W,YDR121W,0.27275,1.5952,0.146300293,0.091712822,2.14616,0.06816839999999999,YDR121W,0.966,0.46762580445977137,-1.9152819663777167,-2.3782484988231594,0.7641460387096337,-2.671211168052533
YDR125C,YDR125C,0.25775,1.6995,0.21040056699999998,0.12380145199999999,2.22016,0.0947682,YDR125C,0.948,0.5309223254651131,-1.5540005234303915,-2.081031188499107,0.7980295819393534,-2.345824590654997
YDR127W,YDR127W,0.35925,1.4019,0.059700175,0.042585187999999996,2.12759,0.02806,YDR127W,0.983,0.3385415227425895,-2.801808697889539,-3.1330379111173237,0.7554597886902538,-3.5383926208400003
YDR131C,YDR131C,0.259,1.7991,0.25209975,0.140125479,2.32228,0.10855699999999999,YDR131C,1.0090000000000001,0.5878422189145217,-1.3739715991834232,-1.9581058623639525,0.8429799803171679,-2.2113103172184583
YDR137W,YDR137W,0.252,1.6086,0.229300177,0.142546423,2.11764,0.10828099999999999,YDR137W,0.86,0.47598570092328296,-1.4683717035930486,-1.9410967908725134,0.7507743733947385,-2.2138327323962548
YDR140W,YDR140W,0.25325,1.561,0.16920047,0.108392357,2.0725700000000002,0.081638,YDR140W,0.7829999999999999,0.4459670514174941,-1.7707783013895668,-2.212814254323264,0.7292717594785694,-2.4932856558188874
YDR143C,YDR143C,0.265,1.5389,0.325599619,0.211579452,2.0742,0.156976,YDR143C,1.0,0.43171747925223003,-1.1190202650110577,-1.5484394687330676,0.7300575345800423,-1.8453121562271286
YDR152W,YDR152W,0.326,1.8486,0.145800059,0.07887052900000001,2.50712,0.058154399999999995,YDR152W,1.006,0.6149693994959212,-1.9186837608944456,-2.527348342811971,0.9195334685160005,-2.827604304173018
YDR153C,YDR153C,0.31825,1.8517,0.110300157,0.059566969000000004,2.49457,0.0442161,YDR153C,0.992,0.6166440345738299,-2.1955246100996564,-2.804005600515946,0.9145171600250027,-3.0963020608759546
YDR156W,YDR156W,0.273,1.9761,0.13290011599999998,0.06725374,2.52756,0.0525804,YDR156W,0.9179999999999999,0.6816311245986977,-2.010661159967238,-2.6845230478836544,0.9276499707402446,-2.9265719494213496
YDR158W,YDR158W,0.56275,1.1842,0.02890013,0.024404771000000002,2.32096,0.012451799999999999,YDR158W,0.997,0.16991153671727297,-3.509892450768861,-3.672818287950695,0.8424116565984668,-4.308642352892307
YDR159W,YDR159W,0.26475,1.9846,0.34880085200000005,0.17575373,2.5194,0.138446,YDR159W,0.885,0.6859211354682057,-1.0503912807230715,-1.732997871174943,0.9244176190857634,-1.9700778494362068
YDR161W,YDR161W,0.2815,1.8126,0.13540007199999998,0.074699366,2.38123,0.056861400000000006,YDR161W,0.82,0.5953138202111821,-1.9921630057136772,-2.580985493738931,0.8680370237864251,-2.8497047833908913
YDR164C,YDR164C,0.2875,1.7166,0.095600085,0.055691533,2.29735,0.041613199999999996,YDR164C,0.0,0.5409279675824341,-2.3371756578468674,-2.870130409205233,0.8321914741824794,-3.1555912145483163
YDR167W,YDR167W,0.217,1.5788,0.09190009199999999,0.058208824000000006,2.01714,0.0455596,YDR167W,0.0,0.4572982567481816,-2.376230642850671,-2.8266846941455746,0.7021762951444653,-3.06702206666115
YDR168W,YDR168W,0.34625,1.5341,0.127300266,0.082980422,2.23353,0.0569951,YDR168W,0.0,0.4285955254970187,-2.053381934096912,-2.4771715787327615,0.8040309151235752,-2.8473967547632077
YDR169C,YDR169C,0.23800000000000002,1.5933,0.1412999,0.08868380099999999,2.07406,0.0681272,YDR169C,1.012,0.4664347684311825,-1.949818476627266,-2.4114651170842962,0.7299900689272624,-2.671806993244641
YDR170C,YDR170C,0.33425,1.5429,0.09990033400000001,0.064748418,2.21809,0.0450389,YDR170C,0.0,0.43431168266574377,-2.2936220414199258,-2.7219196690502314,0.7970972019382455,-3.0782685876814733
YDR175C,YDR175C,0.267,1.7349,0.17989988899999998,0.103694673,2.2742400000000003,0.0791033,YDR175C,0.7709999999999999,0.5515260108923664,-1.7098115001797494,-2.2567070411010617,0.8220855413442543,-2.5244382272545858
YDR176W,YDR176W,0.259,1.7985,0.201600065,0.112093447,2.3216799999999997,0.0868337,YDR176W,0.867,0.5875088485369483,-1.5965213663383855,-2.1795408374148573,0.8427216913937436,-2.432310025104488
YDR177W,YDR177W,0.29075,1.2048,0.011300033000000001,0.009379178,1.7921200000000002,0.006305399999999999,YDR177W,0.0,0.18714324707316812,-4.3981533336805345,-4.567953595131593,0.5839571193215808,-4.919141478262842
YDR178W,YDR178W,0.322,1.4064,0.120599934,0.085750806,2.0568400000000002,0.0586336,YDR178W,1.013,0.3417440305503115,-2.1070188522133755,-2.4447155691320477,0.721656889005661,-2.819536105373632
YDR179C,YDR179C,0.24475,1.5871,0.353700969,0.222859914,2.0815,0.169926,YDR179C,1.0090000000000001,0.46253833313446374,-1.0364801853201917,-1.4967348066897663,0.7335690950588607,-1.7665245646801602
YDR179W-A,YDR179W-A,0.25225,1.5497,0.390400852,0.251920276,2.05925,0.189584,YDR179W-A,0.998,0.43870644188796626,-0.938023047221304,-1.3746809545381684,0.7228273346613558,-1.6576622367211176
YDR182W,YDR182W,0.2715,1.3468,0.217100492,0.161197276,1.89523,0.114551,YDR182W,0.0,0.29847363352997947,-1.5227993499311558,-1.8189419315232276,0.6398677044924851,-2.158043288036971
YDR183W,YDR183W,0.27075,2.1941,0.232400396,0.105920603,2.7410200000000002,0.08478610000000002,YDR183W,1.001,0.786227603575957,-1.454999862473023,-2.2356687479966824,1.0086948750595468,-2.4558982902743978
YDR184C,YDR184C,0.28675,1.3659,0.16910035699999998,0.12380141800000001,1.94514,0.0869348,YDR184C,0.956,0.3125454021764701,-1.7713666808170914,-2.0810314609318716,0.6658479236221229,-2.4311596482036286
YDR185C,YDR185C,0.2845,1.4918,0.10760006800000001,0.072127677,2.06649,0.052069000000000004,YDR185C,0.9990000000000001,0.40065355111094225,-2.220083245331485,-2.6155483655531846,0.7263353111446409,-2.936162325357363
YDR189W,YDR189W,0.34375,1.4147,0.055400048,0.03916028,2.10908,0.026267400000000003,YDR189W,0.0,0.3476241084183144,-2.8752852694146562,-3.2148768315114147,0.7467258614611745,-3.60206342953768
YDR190C,YDR190C,0.34275,1.4495,0.030800161,0.021248818,2.14186,0.014380100000000002,YDR190C,0.0,0.3719083245793216,-3.4482839263157405,-3.8054663953765018,0.7621413853793411,-4.174680812975192
YDR191W,YDR191W,0.25225,1.5213,0.114800295,0.07546197,2.03085,0.056528199999999994,YDR191W,0.997,0.4202223490830713,-2.1558881663508047,-2.570961785939847,0.7089467080938487,-2.855480016620055
YDR192C,YDR192C,0.2125,1.8704,0.452499831,0.24192677,2.29965,0.196769,YDR192C,1.004,0.6266868138596755,-0.7907603820841265,-1.4149952390837341,0.833191691704441,-1.6206555960396085
YDR194C,YDR194C,0.3495,1.8437,0.12229996,0.066333981,2.54969,0.0479666,YDR194C,0.73,0.6123166626453965,-2.0931351932238944,-2.6980902514834213,0.936363910803235,-3.01661684594173
YDR201W,YDR201W,0.298,1.6473,0.165299917,0.10034597,2.24926,0.0734908,YDR201W,0.0,0.4997444537551732,-1.7939623918813954,-2.2892151700715475,0.8110457650958554,-2.5970796511550187
YDR202C,YDR202C,0.2795,1.5603,0.09580002800000001,0.061398467000000005,2.12489,0.0450847,YDR202C,0.9940000000000001,0.44551880756533746,-2.3351079954434493,-2.7742145712162287,0.7541905382236989,-3.0772742712680157
YDR204W,YDR204W,0.24625,1.369,0.137000441,0.10007336800000001,1.86643,0.07340239999999999,YDR204W,0.9390000000000001,0.31481073984003344,-1.9804983981778645,-2.291908610011579,0.6245631540559211,-2.598267079598855
YDR205W,YDR205W,0.257,1.4208,0.217700067,0.153223583,1.9399400000000002,0.11222,YDR205W,1.006,0.35192367451324563,-1.5200540449437234,-1.8693518918035017,0.6631723918080087,-2.178422450373623
YDR206W,YDR206W,0.26025,1.4736,0.333800799,0.22652062899999997,1.99931,0.166958,YDR206W,0.9990000000000001,0.3883867665734131,-1.094219553870262,-1.4805143677789587,0.6933021685486863,-1.7840413308340874
YDR207C,YDR207C,0.2835,1.2873,0.221799563,0.17229827,1.8599700000000001,0.11924900000000001,YDR207C,0.915,0.253323519815342,-1.5014827323312907,-1.7527410649993826,0.6210978571647843,-2.118190686039161
YDR212W,YDR212W,0.406,1.3511,0.020699999,0.015320849,2.17122,0.00953381,YDR212W,0.0,0.3016589393825751,-3.8304430645186733,-4.115311908740453,0.7757496860767292,-4.5531651949167165
YDR217C,YDR217C,0.24875,1.6615,0.370200715,0.22281114300000002,2.16398,0.171074,YDR217C,0.998,0.5083224935478721,-0.9910123518866018,-1.4969526943527292,0.772411123536495,-1.7598306621340347
YDR218C,YDR218C,0.27775,2.2424,0.200900429,0.0895917,2.80346,0.0716616,YDR218C,1.01,0.8079925722289859,-1.5999806288513383,-2.40139268160882,1.0312110070725984,-2.621942232062685
YDR219C,YDR219C,0.247,1.6204,0.212300646,0.131017431,2.1193400000000002,0.100173,YDR219C,1.002,0.4832899735714697,-1.5450526249111998,-2.0248213120836973,0.751576453183338,-2.290923356144774
YDR222W,YDR222W,0.337,1.8685,0.128599981,0.06882525099999999,2.54924,0.0504464,YDR222W,1.013,0.6256710154350313,-2.0433026416689115,-2.6617595724563192,0.9361874723886058,-2.967214789995633
YDR223W,YDR223W,0.23725,1.726,0.683001209,0.395713331,2.20525,0.309716,YDR223W,1.0070000000000001,0.5463857991645414,-0.37979559381728895,-0.9245413472873817,0.7912942416994697,-1.1688759672885065
YDR228C,YDR228C,0.3075,1.4886,0.149000039,0.100094074,2.10975,0.0706245,YDR228C,0.0,0.39850762754066543,-1.897119724885915,-2.291703769906094,0.7470433345674722,-2.6363180847743917
YDR229W,YDR229W,0.2225,1.5405,0.153499967,0.09964295199999999,1.98995,0.07713760000000001,YDR229W,1.013,0.43275596834406793,-1.867561396236593,-2.2961761541867394,0.6886119117581839,-2.5492839039297923
YDR231C,YDR231C,0.23325,1.3502,0.13110039099999998,0.097097016,1.8213700000000002,0.071979,YDR231C,0.9159999999999999,0.30099308651145323,-2.024193107579358,-2.3217983308143313,0.6001378517666796,-2.6175835504519287
YDR233C,YDR233C,0.52425,0.8775,0.09530028900000001,0.108604318,1.93649,0.049212900000000004,YDR233C,0.997,-0.12953937135498522,-2.3402839591441387,-2.210878507434076,0.6613933209417229,-2.9914833131845775
YDR239C,YDR239C,0.24575,1.8874,0.37050045600000003,0.196302032,2.38382,0.155423,YDR239C,1.005,0.6357299096899945,-0.990205187368818,-1.6230195669696026,0.8691236497940594,-1.8551914028594856
YDR240C,YDR240C,0.2365,1.554,0.323599732,0.208236636,2.03173,0.159273,YDR240C,0.0,0.4414755456311974,-1.1251624495335337,-1.5642894378408536,0.709379717169202,-1.8308766677391617
YDR245W,YDR245W,0.28875,1.3559,0.109700188,0.08090581,1.93918,0.05657040000000001,YDR245W,0.9279999999999999,0.3052026861697701,-2.2009297409853383,-2.502185350468308,0.6627807522762681,-2.854746732255329
YDR248C,YDR248C,0.312,1.8048,0.108300109,0.060006709000000005,2.4350400000000003,0.04447569999999999,YDR248C,0.997,0.5910037068912417,-2.2136578865448806,-2.7967714372500216,0.8903737700740859,-3.0905771616233064
YDR249C,YDR249C,0.25475,1.5988,0.347301362,0.21722627100000003,2.1134,0.16433299999999998,YDR249C,1.0070000000000001,0.4698786214325844,-1.0546871911957774,-1.5222228141137366,0.7487710843079423,-1.799793657056384
YDR252W,YDR252W,0.264,2.189,0.184599985,0.084330738,2.72228,0.0678108,YDR252W,1.01,0.7839015438284094,-1.6841615394490057,-2.4612205376957013,1.0018370361687066,-2.6763945696182128
YDR253C,YDR253C,0.222,1.8235,0.304099169,0.16676675,2.2719400000000003,0.13385,YDR253C,1.003,0.6013059768943652,-1.1871184109603707,-1.7851806571464186,0.8210741476896236,-2.003592229396398
YDR255C,YDR255C,0.2765,1.6919,0.10790001699999999,0.063774465,2.2504299999999997,0.0479464,YDR255C,0.9840000000000001,0.5264430346610669,-2.217325092936715,-2.736843811927393,0.8115655698919848,-3.017029457143237
YDR256C,YDR256C,0.28600000000000003,1.8395,0.059100062,0.032128329,2.41722,0.0244496,YDR256C,1.003,0.6100372738369386,-2.8117444058275307,-3.4073665016121404,0.8830317323383146,-3.671055253201458
YDR257C,YDR257C,0.307,1.9606,0.305698976,0.15592113400000002,2.58074,0.11845399999999999,YDR257C,0.982,0.6737604667597551,-1.1818885466350302,-1.8520119310546104,0.9484635902201493,-2.1248239189564226
YDR258C,YDR258C,0.32525,1.6364,0.064900063,0.039660268,2.2934099999999997,0.0282985,YDR258C,1.01,0.4931096179602107,-2.7196158814802023,-3.2025038795591922,0.8304757298516019,-3.5302189588088497
YDR265W,YDR265W,0.25175,1.3221,0.307900834,0.23288770399999997,1.83064,0.168193,YDR265W,0.972,0.2799774680662282,-1.1747349791583646,-1.4529141762479614,0.6052117403917783,-1.7767152038242164
YDR266C,YDR266C,0.28925,1.5243,0.145300407,0.09532271,2.10859,0.0689088,YDR266C,0.973,0.42219111202375037,-1.9220931890050408,-2.340051162435359,0.7464936158105892,-2.660563743531896
